year,data_status_code,property_type_sort,property_type_code,property_type,market_segment_sort,market_segment_code,market_segment,district_sort,district_code,district,num_units,price_per_m2,median_price,total_price,num_units_clean
2012,D,1,22,Kauf,1,J,Ja,81,81,Seefeld,7,16912.0,1025664.0,8680000.0,7.0
2012,D,1,22,Kauf,1,J,Ja,82,82,Mühlebach,24,14513.0,1982500.0,52495000.0,24.0
2012,D,1,22,Kauf,1,J,Ja,83,83,Weinegg,8,10257.0,1350000.0,10390242.0,8.0
2012,D,1,22,Kauf,1,J,Ja,90,9,Kreis 9,47,7586.0,830000.0,42269659.0,47.0
2012,D,1,22,Kauf,1,J,Ja,91,91,Albisrieden,32,8443.0,895000.0,31759759.0,32.0
2012,D,1,22,Kauf,1,J,Ja,92,92,Altstetten,15,6414.0,809545.0,10509900.0,15.0
2012,D,1,22,Kauf,1,J,Ja,100,10,Kreis 10,60,9149.0,795500.0,56388811.0,60.0
2012,D,1,22,Kauf,1,J,Ja,101,101,Höngg,27-31,9938.0,750000.0,29246085.0,27.0
2012,D,1,22,Kauf,1,J,Ja,102,102,Wipkingen,29,8254.0,804000.0,27142725.0,29.0
2012,D,1,22,Kauf,1,J,Ja,110,11,Kreis 11,97,7812.0,650000.0,64299497.0,97.0
2012,D,1,22,Kauf,1,J,Ja,111,111,Affoltern,16,6041.0,504000.0,9050000.0,16.0
2012,D,1,22,Kauf,1,J,Ja,115,115,Oerlikon,31,9091.0,800000.0,23706667.0,31.0
2012,D,1,22,Kauf,1,J,Ja,119,119,Seebach,50,6400.0,625958.0,31542830.0,50.0
2012,D,1,22,Kauf,1,J,Ja,120,12,Kreis 12,29,7362.0,932000.0,26506600.0,29.0
2012,D,1,22,Kauf,1,J,Ja,121,121,Saatlen,3-9,5780.0,815000.0,2245000.0,3.0
2012,D,1,22,Kauf,1,J,Ja,122,122,Schwamendingen-Mitte,24,7554.0,940000.0,22726600.0,24.0
2013,D,1,22,Kauf,1,J,Ja,0,0,Zurich (Total),520,9566.0,1020000.0,623688156.0,520.0
2013,D,1,22,Kauf,1,J,Ja,10,1,Kreis 1,4-12,13904.0,1150000.0,4351000.0,4.0
2013,D,1,22,Kauf,1,J,Ja,11,11,Rathaus,3-9,14474.0,1100000.0,3151000.0,3.0
2013,D,1,22,Kauf,1,J,Ja,20,2,Kreis 2,21,9901.0,1066148.0,22525000.0,21.0
2013,D,1,22,Kauf,1,J,Ja,21,21,Wollishofen,13,10480.0,1200000.0,15505000.0,13.0
2013,D,1,22,Kauf,1,J,Ja,23,23,Leimbach,4,4010.0,405000.0,1660000.0,4.0
2013,D,1,22,Kauf,1,J,Ja,24,24,Enge,4,10977.0,1170574.0,5360000.0,4.0
2013,D,1,22,Kauf,1,J,Ja,30,3,Kreis 3,117,8258.0,910000.0,114306000.0,117.0
2013,D,1,22,Kauf,1,J,Ja,31,31,Alt-Wiedikon,109,8258.0,915000.0,109016000.0,109.0
2013,D,1,22,Kauf,1,J,Ja,34,34,Sihlfeld,5–7,8154.0,530000.0,4720000.0,5.0
2013,D,1,22,Kauf,1,J,Ja,40,4,Kreis 4,32,10354.0,1109500.0,38046000.0,32.0
2013,D,1,22,Kauf,1,J,Ja,42,42,Langstrasse,29–31,10367.0,1110000.0,37396000.0,29.0
2013,D,1,22,Kauf,1,J,Ja,50,5,Kreis 5,48,13067.0,1485000.0,86503000.0,48.0
2013,D,1,22,Kauf,1,J,Ja,52,52,Escher Wyss,45–47,13175.0,1550000.0,84990000.0,45.0
2013,D,1,22,Kauf,1,J,Ja,60,6,Kreis 6,16-26,10307.0,1079500.0,31795500.0,16.0
2013,D,1,22,Kauf,1,J,Ja,61,61,Unterstrass,9,9622.0,850000.0,7605500.0,9.0
2013,D,1,22,Kauf,1,J,Ja,63,63,Oberstrass,17,11881.0,1200000.0,24190000.0,17.0
2013,D,1,22,Kauf,1,J,Ja,70,7,Kreis 7,54-64,13965.0,1615000.0,89945200.0,54.0
2013,D,1,22,Kauf,1,J,Ja,71,71,Fluntern,19-23,15357.0,1930000.0,36842500.0,19.0
2013,D,1,22,Kauf,1,J,Ja,72,72,Hottingen,16,13068.0,1575000.0,25915000.0,16.0
2013,D,1,22,Kauf,1,J,Ja,73,73,Hirslanden,7,21286.0,2172700.0,13887700.0,7.0
