"Stichtagdatjahr","DatenstandCd","HAArtLevel1Sort","HAArtLevel1Cd","HAArtLevel1Lang","HASTWESort","HASTWECd","HASTWELang","RaumSort","RaumCd","RaumLang","AnzHA","HAPreisWohnflaeche","HAMedianPreis","HASumPreis"
2011,"D",1,"22","Kauf",1,"J","Ja",50,"5","Kreis 5","36",8825,1000000,40828584
2011,"D",1,"22","Kauf",1,"J","Ja",51,"051","Gewerbeschule","25",8459,868858,22553584
2011,"D",1,"22","Kauf",1,"J","Ja",52,"052","Escher Wyss","11",11832,1430000,18275000
2011,"D",1,"22","Kauf",1,"J","Ja",60,"6","Kreis 6","59-63",12231,1530000,89427423
2011,"D",1,"22","Kauf",1,"J","Ja",61,"061","Unterstrass","35",12154,1431504,48724504
2011,"D",1,"22","Kauf",1,"J","Ja",63,"063","Oberstrass","24-28",12521,1810000,40702919
2011,"D",1,"22","Kauf",1,"J","Ja",70,"7","Kreis 7","75",12500,1400000,117693295
2011,"D",1,"22","Kauf",1,"J","Ja",71,"071","Fluntern","25",14000,1600000,51376500
2011,"D",1,"22","Kauf",1,"J","Ja",72,"072","Hottingen","15",14100,1650000,22860500
2011,"D",1,"22","Kauf",1,"J","Ja",73,"073","Hirslanden","17",11400,1150000,22237500
2011,"D",1,"22","Kauf",1,"J","Ja",74,"074","Witikon","18",9161,1080000,21218795
2011,"D",1,"22","Kauf",1,"J","Ja",80,"8","Kreis 8","20",11969,995000,22959000
2011,"D",1,"22","Kauf",1,"J","Ja",81,"081","Seefeld","1–3",12339,1050000,K
2011,"D",1,"22","Kauf",1,"J","Ja",82,"082","Mühlebach","11",10000,875000,8506000
2011,"D",1,"22","Kauf",1,"J","Ja",83,"083","Weinegg","6–8",14000,1750000,12353000
2011,"D",1,"22","Kauf",1,"J","Ja",90,"9","Kreis 9","50",6749,585100,35355985
2011,"D",1,"22","Kauf",1,"J","Ja",91,"091","Albisrieden","17",9356,670000,12580695
2011,"D",1,"22","Kauf",1,"J","Ja",92,"092","Altstetten","33",5867,566000,22775290
2011,"D",1,"22","Kauf",1,"J","Ja",100,"10","Kreis 10","90",9697,1061500,106590750
2011,"D",1,"22","Kauf",1,"J","Ja",101,"101","Höngg","66",9710,1108000,76686550
2011,"D",1,"22","Kauf",1,"J","Ja",102,"102","Wipkingen","24",9568,782500,29904200
2011,"D",1,"22","Kauf",1,"J","Ja",110,"11","Kreis 11","124",6140,561500,77092194
2011,"D",1,"22","Kauf",1,"J","Ja",111,"111","Affoltern","62-66",4910,520500,37374006
2011,"D",1,"22","Kauf",1,"J","Ja",115,"115","Oerlikon","37",8000,760000,29269188
2011,"D",1,"22","Kauf",1,"J","Ja",119,"119","Seebach","25",5385,410000,10449000
2011,"D",1,"22","Kauf",1,"J","Ja",120,"12","Kreis 12","9",5862,635000,5684963
2011,"D",1,"22","Kauf",1,"J","Ja",121,"121","Saatlen","2-6",6360,745000,1490000
2011,"D",1,"22","Kauf",1,"J","Ja",122,"122","Schwamendingen-Mitte","5",4737,360000,2324963
2011,"D",1,"22","Kauf",1,"J","Ja",123,"123","Hirzenbach","1–3",6370,935000,K
2012,"D",1,"22","Kauf",1,"J","Ja",0,"0","Ganze Stadt","494",9875,960000,642114201
2012,"D",1,"22","Kauf",1,"J","Ja",10,"1","Kreis 1","1-3",6473,582573,582573
2012,"D",1,"22","Kauf",1,"J","Ja",11,"011","Rathaus","0",,,
2012,"D",1,"22","Kauf",1,"J","Ja",12,"012","Hochschulen","0",,,
2012,"D",1,"22","Kauf",1,"J","Ja",13,"013","Lindenhof","1-3",6473,582573,582573
2012,"D",1,"22","Kauf",1,"J","Ja",14,"014","City","0",,,
2012,"D",1,"22","Kauf",1,"J","Ja",20,"2","Kreis 2","31",11134,1250000,40896000
2012,"D",1,"22","Kauf",1,"J","Ja",21,"021","Wollishofen","21",11284,1410000,29696000
2012,"D",1,"22","Kauf",1,"J","Ja",23,"023","Leimbach","1–3",8403,800000,K
2012,"D",1,"22","Kauf",1,"J","Ja",24,"024","Enge","7–9",14167,940000,8920000
2012,"D",1,"22","Kauf",1,"J","Ja",30,"3","Kreis 3","22",7620,637745,19218623
2012,"D",1,"22","Kauf",1,"J","Ja",31,"031","Alt-Wiedikon","12",7144,400120,6903623
2012,"D",1,"22","Kauf",1,"J","Ja",33,"033","Friesenberg","0",,,
2012,"D",1,"22","Kauf",1,"J","Ja",34,"034","Sihlfeld","10",9179,950000,12315000
2012,"D",1,"22","Kauf",1,"J","Ja",40,"4","Kreis 4","7–9",9412,701721,8838721
